IdCliente,Nombre,Apellido,Edad,Genero,Documento,Email,Telefono,Ciudad,Pais,FechaRegistro,MarcaPreferida,FrecuenciaVisita,TicketPromedio,PuntosAcumulados,UltimaCompra,MedioPagoFavorito,DeliveryFrecuente,EstadoCliente,Observaciones
29,Diego,Rojas,87.0,,79686772,diego.rojas@yahoo.com,981707473,Trujillo,PE,2024-10-09,,1.0,61.97,98.0,2024-03-30,Tarjeta,True,Pendiente,Reclamo abierto
30,Valeria,Cruz,34.0,,31185718,valeria.cruz@yahoo.com,995315850,Lima,PE,2022-01-17,Pizza Hut,4.0,38.72,53.0,2025-07-08,Tarjeta,True,Pendiente,
31,Andrea,Díaz,46.0,,81597662,invalid_email,949830616,Cajamarca,Peru,2024-01-06,Pizza Hut,1.0,32.54,131.0,2024-01-08,Efectivo,,Activo,
32,Rosa,Fernández,25.0,M,44238254,rosa.fernández@gmail.com,997075874,Arequipa,Perú,2024-12-03,Chili's,3.0,13.37,22.0,2025-01-06,Billetera,,,
33,Daniel,López,86.0,X,89332227,daniel.lópez@gmail.com,977739865,Piura,PE,2024-04-08,,2.0,69.01,28.0,2024-10-13,Tarjeta,,Pendiente,
34,Ana,Ramírez,40.0,F,79386675,ana.ramírez@gmail.com,913342601,Huaraz,,2023-03-30,Chili's,8.0,56.94,136.0,2024-06-25,,,Pendiente,Cliente VIP
35,Lucía,López,121.0,F,58487481,,997799144,Trujillo,Peru,2025-06-18,KFC,3.0,6.19,85.0,2025-08-26,Billetera,,,
36,Carmen,López,71.0,,19841812,carmen.lópez@yahoo.com,946178163,Puerto Maldonado,PE,2021-12-20,Chili's,13.0,31.6,30.0,2024-01-15,Tarjeta,False,Activo,Cliente VIP
37,Lucía,Ramírez,47.0,F,48708227,lucía.ramírez@gmail.com,915069696,Piura,Peru,2024-08-08,Chili's,1.0,45.08,72.0,2025-09-13,Tarjeta,True,Pendiente,Pendiente validación
38,Jorge,Ramírez,62.0,,XXXXX,jorge.ramírez@yahoo.com,991351376,Cajamarca,Peru,2025-04-04,,5.0,62.13,139.0,2023-07-23,,False,Pendiente,
39,Juan,Rojas,63.0,X,82946773,juan.rojas@outlook.com,952752019,Cajamarca,Peru,2021-11-05,,9.0,51.07,-36.0,2023-02-12,Efectivo,,Pendiente,
40,Paola,Flores,33.0,,81040966,paola.flores@gmail.com,994439801,Tarapoto,PE,2022-12-24,Chili's,6.0,51.93,51.0,2024-10-01,Tarjeta,False,,
41,Andrea,Ramírez,23.0,M,69100862,andrea.ramírez@hotmail.com,963084859,Tarapoto,PE,2025-05-24,Starbucks,4.0,21.36,87.0,2023-05-05,Tarjeta,False,Activo,Reclamo abierto
42,Carmen,Martínez,34.0,X,41772014,carmen.martínez@outlook.com,955407360,Trujillo,Peru,2024-04-05,KFC,1.0,30.4,23.0,2023-05-13,Billetera,True,Inactivo,
43,Carmen,Ramírez,16.0,F,28475244,,978085134,Iquitos,,2022-12-31,KFC,2.0,40.88,53.0,2025-01-09,Billetera,True,Inactivo,Cliente VIP
44,Diego,Rodríguez,30.0,M,19261348,diego.rodríguez@outlook.com,923617364,,PE,2023-04-03,KFC,8.0,43.73,42.0,2023-01-19,,False,Pendiente,
45,Pedro,Fernández,40.0,X,30408773,pedro.fernández@gmail.com,968511250,Huancayo,Perú,2021-12-13,Pizza Hut,3.0,63.75,34.0,2024-12-16,Efectivo,True,Activo,
46,Andrea,Pérez,86.0,M,40958540,andrea.pérez@gmail.com,930368007,Tarapoto,Peru,2024-05-15,Pizza Hut,4.0,32.41,-15.0,2024-02-21,,False,Inactivo,
47,Juan,Flores,33.0,F,35141932,juan.flores@hotmail.com,944665095,Iquitos,PE,2022-07-21,Pizza Hut,15.0,27.98,96.0,2023-03-31,,False,,
48,Lucía,Sánchez,75.0,F,18490735,lucía.sánchez@gmail.com,918394381,Arequipa,Peru,2024-03-04,Pizza Hut,7.0,42.45,119.0,2025-02-10,Tarjeta,True,,
49,José,Díaz,47.0,M,47596895,josé.díaz@gmail.com,923662155,Tarapoto,Perú,2023-08-13,Chili's,9.0,29.73,105.0,2024-02-19,Billetera,True,Inactivo,
50,Raúl,Torres,57.0,F,63807042,raúl.torres@yahoo.com,956101866,Cusco,Perú,2022-10-19,Starbucks,8.0,23.84,198.0,2023-04-29,Efectivo,,,
51,Ana,Rojas,84.0,F,41964839,ana.rojas@hotmail.com,927104069,Ica,PE,2023-04-08,Pizza Hut,0.0,19.96,75.0,2024-12-07,Billetera,,Inactivo,
52,Diego,Martínez,20.0,X,44732915,diego.martínez@hotmail.com,932003068,Iquitos,Perú,2023-07-14,Pizza Hut,2.0,41.56,145.0,2025-09-26,Billetera,False,Activo,
53,Juan,Gómez,21.0,X,63835737,juan.gómez@yahoo.com,963175529,Moquegua,Perú,2025-02-14,KFC,1.0,18.84,36.0,2023-02-14,Billetera,,Pendiente,Reclamo abierto
54,José,Fernández,59.0,X,64584853,correo_sin_arroba.com,965508324,Lima,,2021-01-09,Pizza Hut,1.0,17.26,174.0,2025-08-15,Tarjeta,,,
55,Juan,Rodríguez,36.0,M,84207054,juan.rodríguez@hotmail.com,959897489,Cusco,Peru,2022-11-30,KFC,2.0,5.24,176.0,2025-01-17,Billetera,False,Activo,Pendiente validación
56,Rosa,Torres,40.0,M,56526393,rosa.torres@yahoo.com,910139199,Cusco,,2025-02-02,,-4.0,10.48,281.0,2024-12-09,Tarjeta,,,
57,Luis,Cruz,19.0,M,69869256,luis.cruz@outlook.com,947671730,Iquitos,Perú,2022-04-04,Chili's,2.0,57.05,37.0,2024-04-08,Billetera,False,Activo,Cliente VIP
58,Juan,Fernández,72.0,F,77326385,juan.fernández@hotmail.com,978046774,Juliaca,Peru,2022-06-15,KFC,8.0,44.32,27.0,2024-08-19,Tarjeta,False,Pendiente,Reclamo abierto
59,José,Rojas,84.0,F,47522127,josé.rojas@hotmail.com,919655835,,Perú,2021-08-26,,8.0,5.69,77.0,2023-03-09,Billetera,,Pendiente,
60,Sofía,Díaz,67.0,M,69791037,sofía.díaz@hotmail.com,960021373,Lima,Peru,2024-04-11,Starbucks,4.0,28.31,45.0,2024-06-24,Billetera,,Pendiente,
61,Valeria,Gómez,36.0,X,71114639,valeria.gómez@gmail.com,929956418,Ica,,2022-10-21,,5.0,58.25,180.0,2024-08-17,,,,
62,Diego,Cruz,23.0,,82126497,diego.cruz@outlook.com,991113784,,Peru,2022-11-28,KFC,5.0,47.29,57.0,2023-07-12,Billetera,,Pendiente,
63,Sofía,Cruz,73.0,X,71434277,sofía.cruz@hotmail.com,934030744,Piura,PE,2024-12-20,KFC,8.0,44.93,58.0,2023-12-27,Tarjeta,,,Reclamo abierto
64,Diego,Castillo,54.0,M,91832540,diego.castillo@yahoo.com,939687382,Lima,,2023-06-02,Chili's,7.0,47.23,43.0,2023-11-13,Efectivo,False,Activo,Pendiente validación
65,Carmen,Fernández,33.0,F,88561915,carmen.fernández@gmail.com,920386771,Huaraz,Peru,2023-06-14,Pizza Hut,6.0,36.86,214.0,2024-11-09,Tarjeta,False,Inactivo,Pendiente validación
66,Raúl,Gómez,37.0,,74989828,invalid_email,988034442,Iquitos,Peru,2021-10-15,Chili's,5.0,21.95,129.0,2023-07-20,Tarjeta,,Inactivo,
67,Diego,Ramírez,23.0,M,82339078,diego.ramírez@gmail.com,989798099,Puerto Maldonado,,2023-07-04,Starbucks,12.0,40.38,245.0,2024-05-08,Efectivo,,Pendiente,
68,Lucía,Torres,41.0,,17418518,lucía.torres@yahoo.com,966713676,Trujillo,PE,2022-02-23,Pizza Hut,1.0,41.9,211.0,2024-04-10,Billetera,True,Pendiente,
69,Rosa,Rodríguez,47.0,M,50758314,rosa.rodríguez@hotmail.com,948777828,Tumbes,Peru,2022-06-30,Pizza Hut,11.0,47.41,148.0,2025-04-22,Billetera,True,Inactivo,Cliente VIP
70,Carlos,López,53.0,X,77108318,carlos.lópez@yahoo.com,955259245,Cusco,Perú,2024-02-27,Pizza Hut,6.0,34.16,188.0,2023-10-13,Efectivo,,Inactivo,
71,Paola,Sánchez,55.0,X,73860255,paola.sánchez@hotmail.com,948887190,Juliaca,Perú,2024-10-19,KFC,2.0,26.21,,2025-08-31,,False,Pendiente,Cliente VIP
72,Diego,López,42.0,F,76673370,diego.lópez@gmail.com,945411136,Ica,Peru,2024-05-10,KFC,4.0,58.49,116.0,2023-10-27,Billetera,True,,
73,Miguel,Rodríguez,31.0,,12964241,miguel.rodríguez@yahoo.com,927958779,Juliaca,,2022-12-04,,7.0,47.86,185.0,2025-03-10,Tarjeta,True,Pendiente,
74,Rosa,Fernández,27.0,M,14398783,rosa.fernández@yahoo.com,968373710,Arequipa,PE,2023-07-03,Chili's,1.0,26.22,72.0,2023-05-16,Billetera,,Activo,Cliente VIP
75,Andrea,Martínez,78.0,,41796059,andrea.martínez@hotmail.com,999840562,Tarapoto,Peru,2023-02-21,Pizza Hut,1.0,32.5,111.0,2024-08-20,Billetera,False,Pendiente,Cliente VIP
76,José,López,48.0,X,71123082,josé.lópez@outlook.com,998268171,Cusco,PE,2022-03-01,,7.0,43.65,58.0,2023-08-09,Billetera,False,Activo,
77,Daniel,Rojas,48.0,F,62903973,daniel.rojas@gmail.com,979075666,Ayacucho,PE,2022-04-26,Starbucks,7.0,45.13,126.0,2024-03-08,,False,Inactivo,Reclamo abierto
78,Pedro,Castillo,57.0,,65931255,correo_sin_arroba.com,985677072,Ica,Peru,2021-07-26,KFC,-2.0,13.06,150.0,2023-10-03,Billetera,True,Inactivo,
79,Andrea,Gómez,58.0,X,58969223,andrea.gómez@outlook.com,946329471,Piura,,2023-12-16,Chili's,10.0,32.48,140.0,2024-07-17,Tarjeta,,,
80,Luis,Sánchez,76.0,M,88963020,luis.sánchez@gmail.com,959919230,Lima,,2021-10-06,Pizza Hut,2.0,18.71,226.0,2023-05-02,,,,Cliente VIP
81,Andrea,Gómez,0.0,,21776180,andrea.gómez@outlook.com,976994843,Huancayo,Peru,2022-07-16,Pizza Hut,8.0,29.04,113.0,2024-06-23,Efectivo,True,Pendiente,
82,Jorge,Cruz,24.0,F,40461624,jorge.cruz@hotmail.com,999325910,Trujillo,PE,2023-03-24,Pizza Hut,14.0,27.73,6.0,2023-07-20,Billetera,True,Pendiente,Pendiente validación
83,Andrea,López,84.0,M,64404552,andrea.lópez@outlook.com,992244084,Juliaca,,2023-09-03,Chili's,7.0,23.67,212.0,2023-02-19,Tarjeta,False,Pendiente,
84,Daniel,Flores,52.0,,57549389,daniel.flores@hotmail.com,932389329,Cusco,Perú,2022-07-19,Starbucks,5.0,36.71,25.0,2024-03-12,Billetera,,Inactivo,
85,Miguel,López,69.0,X,XXXXX,miguel.lópez@yahoo.com,967198715,Piura,,2024-03-11,Chili's,4.0,69.49,71.0,2025-02-05,Billetera,False,Pendiente,
86,Carlos,Rodríguez,27.0,M,63800140,carlos.rodríguez@gmail.com,916393340,Puno,,2022-12-11,KFC,9.0,64.49,56.0,2024-10-14,Tarjeta,False,,
87,María,Gómez,76.0,,93690462,maría.gómez@gmail.com,981956254,Puerto Maldonado,PE,2025-02-24,,1.0,32.44,140.0,2023-06-20,Tarjeta,,Pendiente,Reclamo abierto
88,Ana,Sánchez,48.0,M,35322327,ana.sánchez@hotmail.com,963583824,Ayacucho,Peru,2023-02-21,Pizza Hut,7.0,42.84,165.0,2024-04-21,Efectivo,False,Inactivo,
89,Andrea,Cruz,55.0,M,34675531,andrea.cruz@yahoo.com,960630932,Cusco,Peru,2024-09-07,Starbucks,4.0,38.12,194.0,2023-02-08,Billetera,True,Activo,Pendiente validación
90,Rosa,Gómez,19.0,M,80443870,rosa.gómez@outlook.com,920838448,,,2021-09-04,Pizza Hut,2.0,17.99,33.0,2023-02-24,Tarjeta,,Pendiente,
91,,Pérez,53.0,,54236185,invalid_email,949565221,Puerto Maldonado,Perú,2021-09-10,KFC,1.0,40.0,123.0,2025-05-15,Tarjeta,False,,Cliente VIP
92,Daniel,Martínez,83.0,,XXXXX,daniel.martínez@hotmail.com,959737421,Arequipa,Perú,2022-09-02,Pizza Hut,6.0,31.59,109.0,2023-06-24,Tarjeta,,Inactivo,Pendiente validación
93,Daniel,Martínez,37.0,X,25125767,daniel.martínez@hotmail.com,942977918,Arequipa,Perú,2021-10-12,KFC,2.0,21.86,27.0,2023-01-16,Efectivo,False,Inactivo,Reclamo abierto
94,Carmen,Vargas,46.0,F,70729451,carmen.vargas@gmail.com,997903809,Tacna,PE,2023-09-07,KFC,2.0,13.67,27.0,2023-07-15,,,Inactivo,Pendiente validación
95,Jorge,Sánchez,29.0,F,22787477,jorge.sánchez@hotmail.com,952706413,Lima,Peru,2022-04-23,KFC,0.0,50.25,188.0,2023-04-13,Efectivo,False,Activo,
96,Gabriela,Vargas,26.0,,50145487,gabriela.vargas@hotmail.com,914262739,Puerto Maldonado,Peru,2021-12-23,Chili's,5.0,46.12,177.0,2023-01-26,,,Inactivo,
97,Juan,Flores,68.0,M,86218677,juan.flores@outlook.com,955582597,Cusco,,2023-04-17,Pizza Hut,0.0,18.62,55.0,2023-10-03,Billetera,True,Activo,Pendiente validación
98,Diego,Martínez,74.0,F,45343904,diego.martínez@outlook.com,913485034,Piura,PE,2022-06-03,Chili's,5.0,50.14,59.0,2023-12-24,Billetera,True,Pendiente,
99,Pedro,Pérez,82.0,M,24686033,pedro.pérez@yahoo.com,910911640,Juliaca,PE,2022-05-30,KFC,2.0,28.34,72.0,2025-08-14,Tarjeta,False,Pendiente,
100,Gabriela,López,70.0,X,19915303,gabriela.lópez@outlook.com,916194467,Puno,Perú,2023-05-13,KFC,7.0,29.04,68.0,2025-06-28,Efectivo,False,Activo,Cliente VIP
101,Valeria,Sánchez,20.0,F,40804216,valeria.sánchez@hotmail.com,923877179,Cajamarca,Peru,2025-02-19,Pizza Hut,10.0,53.9,94.0,2025-05-30,Tarjeta,False,Pendiente,
102,José,Pérez,18.0,M,40300372,josé.pérez@hotmail.com,939529072,Lima,Perú,2024-11-08,Pizza Hut,15.0,38.39,47.0,2024-07-14,Billetera,False,Inactivo,Reclamo abierto
103,Daniel,Gómez,61.0,,97008755,daniel.gómez@outlook.com,959709946,Iquitos,Perú,2024-04-08,,7.0,12.26,244.0,2024-03-09,Tarjeta,False,Inactivo,
104,,Rojas,43.0,M,30799787,,940600003,Huancayo,PE,2025-01-19,Chili's,-3.0,20.32,110.0,2025-06-21,Tarjeta,False,,Pendiente validación
105,Andrea,López,87.0,,64848642,andrea.lópez@outlook.com,978883886,Tarapoto,,2024-12-29,Chili's,3.0,49.68,-22.0,2023-04-20,Tarjeta,False,Activo,
106,José,Flores,76.0,M,40727341,josé.flores@outlook.com,950211535,Piura,Peru,2022-07-26,Chili's,10.0,49.05,175.0,2024-10-16,,False,Pendiente,
107,Lucía,Vargas,21.0,,36398055,lucía.vargas@outlook.com,911440069,Chimbote,Perú,2024-12-21,Starbucks,2.0,38.62,166.0,2023-08-13,Tarjeta,,Pendiente,Reclamo abierto
108,Sofía,Sánchez,89.0,F,77130074,sofía.sánchez@outlook.com,915453679,Tacna,Peru,2024-10-27,KFC,18.0,30.43,84.0,2024-04-15,Billetera,,,
109,María,López,42.0,X,56584227,maría.lópez@yahoo.com,961714228,Cajamarca,PE,2022-09-26,KFC,4.0,22.79,73.0,2023-12-20,,False,Activo,
110,Daniel,Cruz,50.0,X,61099582,daniel.cruz@outlook.com,955413934,Juliaca,Perú,2022-04-25,KFC,3.0,32.45,138.0,2024-12-15,,True,Pendiente,
111,Paola,Gómez,65.0,,29864965,paola.gómez@gmail.com,932141411,Cajamarca,PE,2022-02-21,Chili's,8.0,19.65,52.0,2023-09-08,Billetera,True,,Pendiente validación
112,Paola,Pérez,89.0,F,18151420,paola.pérez@gmail.com,943326746,Puerto Maldonado,Perú,2023-12-02,Starbucks,5.0,44.68,56.0,2023-12-18,Billetera,,Activo,
113,Gabriela,Sánchez,64.0,F,83382959,gabriela.sánchez@hotmail.com,926542734,Huaraz,,2025-09-15,Pizza Hut,17.0,25.21,24.0,2024-08-02,Billetera,,,Reclamo abierto
114,Valeria,López,56.0,,50320413,valeria.lópez@yahoo.com,987648809,,Peru,2022-03-18,Pizza Hut,5.0,31.51,83.0,2024-04-20,Billetera,True,Pendiente,
115,Andrea,Vargas,62.0,F,53302088,andrea.vargas@hotmail.com,931289640,Trujillo,Peru,2025-09-08,Starbucks,7.0,25.5,57.0,2024-04-22,Billetera,,Pendiente,Reclamo abierto
116,Miguel,Vargas,75.0,,69464839,miguel.vargas@gmail.com,947656428,Piura,PE,2023-06-28,,8.0,42.84,128.0,2024-11-20,Tarjeta,False,Inactivo,Reclamo abierto
117,Juan,Fernández,21.0,F,34580004,juan.fernández@gmail.com,980950501,Ayacucho,Perú,2025-06-09,Pizza Hut,7.0,39.23,137.0,2023-09-14,Tarjeta,,Inactivo,Pendiente validación
118,Sofía,Pérez,37.0,F,82287514,sofía.pérez@outlook.com,948073210,Ayacucho,,2022-12-18,Chili's,6.0,32.33,55.0,2024-07-21,Tarjeta,,,Cliente VIP
119,Valeria,Sánchez,55.0,F,94408280,valeria.sánchez@hotmail.com,933681922,Piura,PE,2024-10-25,Chili's,0.0,51.36,116.0,2023-05-25,Tarjeta,False,Pendiente,Cliente VIP
120,Rosa,López,59.0,,28614417,rosa.lópez@gmail.com,964969311,Huancayo,PE,2024-05-27,,2.0,19.17,64.0,2024-06-08,Billetera,False,Pendiente,Cliente VIP
121,Raúl,Castillo,80.0,M,48634466,raúl.castillo@gmail.com,931163761,Juliaca,Peru,2022-10-11,Pizza Hut,15.0,49.38,70.0,2024-05-21,Billetera,False,,Cliente VIP
122,Daniel,Ramírez,28.0,F,15870214,daniel.ramírez@gmail.com,977250372,Moquegua,Peru,2021-08-29,,2.0,36.29,414.0,2023-04-06,Billetera,True,,
123,Carmen,Castillo,39.0,M,88026814,carmen.castillo@outlook.com,940111956,,Perú,2025-06-24,Pizza Hut,19.0,39.73,33.0,2025-01-22,,False,Inactivo,
124,Jorge,Rodríguez,62.0,,99189156,jorge.rodríguez@yahoo.com,978642243,Piura,,2021-04-05,KFC,3.0,13.8,130.0,2024-10-15,Tarjeta,,Inactivo,
125,Diego,Ramírez,16.0,M,XXXXX,diego.ramírez@outlook.com,950787273,Arequipa,Peru,2024-01-24,Starbucks,3.0,31.34,98.0,2024-12-18,Tarjeta,True,,Cliente VIP
126,Juan,López,56.0,,17896400,juan.lópez@outlook.com,927404682,Huancayo,,2024-06-22,Starbucks,15.0,57.21,40.0,2025-03-09,Billetera,,,Cliente VIP
127,Miguel,Díaz,48.0,X,93218518,miguel.díaz@yahoo.com,931734064,Iquitos,PE,2021-05-24,Chili's,14.0,42.75,41.0,2024-12-19,Billetera,,Pendiente,Reclamo abierto
128,Luis,López,24.0,X,72569333,luis.lópez@outlook.com,945357205,Tarapoto,PE,2025-09-28,KFC,0.0,18.14,37.0,2023-06-25,Tarjeta,,,
129,Diego,Rodríguez,21.0,X,78833164,diego.rodríguez@gmail.com,929734457,Piura,Perú,2021-09-14,Starbucks,6.0,40.42,251.0,2024-09-15,Tarjeta,False,Pendiente,
130,Carmen,Díaz,73.0,F,34108803,carmen.díaz@outlook.com,938618605,Cajamarca,,2023-08-09,Chili's,7.0,24.13,82.0,2025-03-10,Tarjeta,True,Pendiente,
131,Diego,Gómez,53.0,M,81613775,diego.gómez@outlook.com,913013521,Chimbote,PE,2023-01-09,KFC,0.0,47.99,77.0,2023-09-13,Billetera,True,Activo,Pendiente validación
132,Carlos,Castillo,54.0,F,45672384,carlos.castillo@yahoo.com,911746553,Huancayo,Perú,2024-01-13,,8.0,51.62,61.0,2024-04-05,Efectivo,,Activo,
133,Jorge,Vargas,83.0,,22052407,jorge.vargas@gmail.com,917269458,,Perú,2023-11-18,,2.0,29.72,195.0,2025-04-17,,,,
134,Luis,Rojas,49.0,M,42102351,luis.rojas@yahoo.com,986524686,Cusco,Perú,2022-08-09,KFC,8.0,31.79,43.0,2023-03-13,Tarjeta,False,Inactivo,Reclamo abierto
135,Gabriela,Vargas,70.0,X,25468242,gabriela.vargas@hotmail.com,958329993,Ayacucho,,2025-08-28,KFC,13.0,-10.59,46.0,2025-04-09,Efectivo,False,Pendiente,
136,Rosa,Martínez,18.0,,75597099,rosa.martínez@outlook.com,993593251,Cajamarca,Perú,2023-06-06,Chili's,17.0,23.81,112.0,2023-11-17,,,,
137,Gabriela,Pérez,73.0,M,94033706,gabriela.pérez@gmail.com,962090627,,,2023-11-14,KFC,15.0,10.41,41.0,2023-07-17,Efectivo,,Activo,
138,Andrea,Pérez,29.0,F,11285135,andrea.pérez@yahoo.com,930944907,Chiclayo,,2024-11-20,KFC,17.0,59.34,27.0,2023-10-09,,False,Inactivo,
139,Miguel,Martínez,63.0,,88793325,miguel.martínez@hotmail.com,963870367,Lima,,2021-02-13,Chili's,0.0,19.27,81.0,2025-03-08,Billetera,,Pendiente,
140,Jorge,Castillo,33.0,X,56452537,jorge.castillo@hotmail.com,973925572,Chiclayo,,2023-07-28,Pizza Hut,5.0,27.84,182.0,2025-07-21,Tarjeta,True,,Pendiente validación
141,Lucía,Sánchez,32.0,M,79880991,lucía.sánchez@hotmail.com,919520565,Moquegua,Perú,2025-05-05,Starbucks,1.0,41.21,39.0,2024-05-18,Billetera,,Inactivo,
142,Jorge,Flores,121.0,F,91474872,jorge.flores@yahoo.com,943436451,Ica,,2021-10-11,Starbucks,2.0,40.56,,2024-05-08,Efectivo,True,Pendiente,Cliente VIP
143,Valeria,Rodríguez,42.0,X,58910005,valeria.rodríguez@gmail.com,935785961,Lima,,2022-06-18,,6.0,50.32,93.0,2025-03-17,Tarjeta,,Pendiente,
144,Raúl,Ramírez,37.0,X,21781888,raúl.ramírez@outlook.com,990911187,Ayacucho,PE,2023-07-04,Starbucks,9.0,29.56,108.0,2023-08-25,Tarjeta,True,Inactivo,Pendiente validación
145,Paola,López,17.0,X,94343271,paola.lópez@hotmail.com,990897948,Piura,Perú,2024-12-05,,7.0,39.69,139.0,2024-02-29,,False,,Reclamo abierto
146,Andrea,Gómez,89.0,F,29719393,andrea.gómez@outlook.com,967108623,Puno,,2023-12-07,Chili's,7.0,54.05,79.0,2025-02-27,Tarjeta,True,Activo,
